City,Average Rating
Abu Dhabi,4.3
Agra,3.965
Ahmedabad,4.161904761904762
Albany,3.5549999999999997
Allahabad,3.3950000000000005
Amritsar,3.6857142857142855
Ankara,4.305
Armidale,3.5
Athens,4.2
Auckland,4.275
Augusta,4.13
Aurangabad,3.375
Balingup,3.2
Bandung,4.2
Bangalore,4.375
Beechworth,4.6
Bhopal,3.95
Bhubaneshwar,3.9809523809523806
Birmingham,3.6799999999999997
Bogor,3.85
Boise,4.26
Bras�_lia,3.495
Cape Town,4.11
Cedar Rapids/Iowa City,4.165
Chandigarh,4.050000000000001
Chatham-Kent,3.7
Chennai,4.3149999999999995
Clatskanie,4.3
Cochrane,3.1
Coimbatore,4.135
Colombo,3.87
Columbus,4.029999999999999
Consort,3.0
Dalton,4.11
Davenport,3.715
Dehradun,4.05
Des Moines,4.235
Dicky Beach,3.6
Doha,4.0600000000000005
Dubai,4.37
Dubuque,3.535
East Ballina,4.1
Edinburgh,4.09
Faridabad,1.8669322709163347
Fernley,3.7
Flaxton,3.5
Forrest,3.7
Gainesville,4.035
Ghaziabad,2.852
Goa,4.245
Gurgaon,2.6514311270125224
Guwahati,4.190476190476191
Hepburn Springs,3.8
Huskisson,4.1
Hyderabad,4.344444444444445
Indore,3.97
Inner City,4.9
Inverloch,3.7
Jaipur,4.13
Jakarta,4.35625
Johannesburg,4.2
Kanpur,3.815
Kochi,4.08
Kolkata,4.255
Lakes Entrance,3.8
Lakeview,3.6
Lincoln,4.5
London,4.535
Lorn,3.6
Lucknow,4.1952380952380945
Ludhiana,3.9799999999999995
Macedon,3.5
Macon,4.115
Makati City,4.65
Manchester,4.045
Mandaluyong City,4.625
Mangalore,3.745
Mayfield,2.9
Mc Millan,2.4
Middleton Beach,3.8
Miller,3.4
Mohali,4.3
Monroe,3.6
Montville,2.4
Mumbai,4.085
Mysore,3.6950000000000003
Nagpur,3.965
Nashik,3.5200000000000005
New Delhi,2.4388452402704184
Noida,2.0362037037037037
Ojo Caliente,3.6
Orlando,4.475
Palm Cove,4.4
Panchkula,4.2
Pasay City,4.366666666666667
Pasig City,4.633333333333334
Patna,3.4549999999999996
Paynesville,2.6
Penola,3.4
Pensacola,4.2
Phillip Island,3.7
Pocatello,3.4850000000000003
Potrero,3.3
Pretoria,4.1899999999999995
Princeton,4.0
Puducherry,3.7299999999999995
Pune,4.220000000000001
Quezon City,4.8
Ranchi,3.4549999999999996
Randburg,4.3
Rest of Hawaii,4.41
Rio de Janeiro,4.265
San Juan City,4.25
Sandton,4.3
Santa Rosa,3.8
Savannah,4.154999999999999
Secunderabad,4.5
Sharjah,4.029999999999999
Singapore,3.575
Sioux City,3.7649999999999997
Surat,3.935
S��o Paulo,3.53
Tagaytay City,4.5
Taguig City,4.525
Tampa Bay,4.41
Tangerang,4.300000000000001
Tanunda,4.4
Trentham East,4.1
Vadodara,4.025
Valdosta,3.715
Varanasi,3.5100000000000002
Vernonia,4.3
Victor Harbor,3.6
Vineland Station,4.3
Vizag,4.005
Waterloo,3.65
Weirton,3.9
Wellington City,4.25
Winchester Bay,3.2
Yorkton,3.3
��stanbul,4.292857142857143
