Aggregate Rating,Restaurant Count,Most Common
0.0,2148,True
1.8,1,False
1.9,2,False
2.0,7,False
2.1,15,False
2.2,27,False
2.3,47,False
2.4,87,False
2.5,110,False
2.6,191,False
2.7,250,False
2.8,315,False
2.9,381,False
3.0,468,False
3.1,519,False
3.2,522,False
3.3,483,False
3.4,498,False
3.5,480,False
3.6,458,False
3.7,427,False
3.8,400,False
3.9,335,False
4.0,266,False
4.1,274,False
4.2,221,False
4.3,174,False
4.4,144,False
4.5,95,False
4.6,78,False
4.7,42,False
4.8,25,False
4.9,61,False
